Script Name,Short Description,Analysis,Associated Main Figures,Associated Supplementary Figures,Folder in GitHub (under metallica/code/),filetype,author
metpertWTproteomics_16_ensemble_clustering/,,ensemble clustering analysis of protein abundance data,proprocessing for Figures 3a-c,-,metpert_WTproteomics/ensemble_clustering/,folder with .py files,Oliver Lemke
metpertWTproteomics_17_summarise_ensembleclustering.R,,"summarising results of ensemble clustering analysis, gene set enrichment analysis of clusters",proprocessing for Figures 3a-c,Supplementary Figures 3b-c,metpert_WTproteomics/ensemble_clustering/,.R file,Simran Aulakh
metpertWTproteomics_18_visualise_ensembleclustering_summary.R,,-,Figures 3a-c,-,,.R file,Simran Aulakh
,,,,,,,
metdscomp_1_upset_gsea.R,compares proteins or open reading frames identified as significantly changing across all datasets and conducts gene set enrichment analysis for each dataset ,geneset enrichment analysis of proteins or open reading frames identified as significantly linked to each metal in each dataset,Figure 4b-4e,Supplementary Figure 4b,dataset_comparison/,.R file,Simran Aulakh
metdscomp_2_metalbinderrs_metaltransporters.R,"summarises and visualises data on metal-binding, metal-transport and other metal-related proteins across all new and published datasets",-,"Figures 2i-j, Figue 4f","Supplementary Figures 2h-i, Supplementary Figures 3d-f, Supplementary Figures 4c-e",dataset_comparison/,.R file,Simran Aulakh
metdscomp_3_hypothesisgeneration_YMR196W_YBR287W.R,visualises data on YMR196W and YBR287W from all datasets,-,Figures 4g - 4n,-,dataset_comparison/,.R file,Simran Aulakh
metdscomp_4_circos_plot.R,pulls results of all datasets and pubmed database to categorise open reading frames and corresponding genes or proteins into bins based on number of papers in pubmed and plot circular plot for graphical abstract,-,graphical abstract,-,dataset_comparison/,.R file,Simran Aulakh
,,,,,,,
metalinmetal_1_Yeast8_metalperturbation_fba/,folder containing all MATLAB scripts for simulation of metabolic fluxes in metal depletion and excess conditions,flux balance analysis to simulate metal deficiency and excess using Yeast8 GEM,,,metals_in_metabolism/,folder with MATLAB files,Yu Chen
metalinmetab_2_literature_vs_simualtion_vs_experiment_comparison.R,compares metal annotations in various databases and enzymes signficantly changing in abundance in metal perturbation conditions ,-,"Figures 5a-b, 5d, preprocessing for Figures 5e-f",Supplementary Figure 5a,metals_in_metabolism/,.R file,Simran Aulakh
metalinmetab_3_Yeast8_dir-bip-graph_create_network_calc_distances_to_from_metalnodes.ipynb,"creates a directed bipartite graph using the Yeast8 genome scale metabolic model, maps metal annotations to the graph and calculates shortest distances between metabolite and reaction nodes and reaction nodes catalysed by enzymes annotated for metal binding. compares shortest distances to metal nodes with shortest distances to a random set of nodes","creating a directed bipartite graph from the Yeast8 GEM, checking graph for connectedness, % bidirectional edges, calculating shortest distances betweeen metalite and reaction nodes and metal related reaction nodes","Figures 5c, 5g-h",Supplementary Figure 5b,metals_in_metabolism/,Jupyter notebook,Simran Aulakh
metalinmetab_4_Yeast8_dir-bip-graph_create_network_calc_centrality_randomdist_vs_metalnodes.ipynb,"creates the same directed bipartite graph as ""metalinmetab_2_.."". then maps metal annotations to the graph and calculates and compares centrality metrics of metal annotated nodes with a set of random nodes. Graph was recreated here to make it easier to test the impact of changing parameters in graph creation on centrality metrics without having to run the other script","creating a directed bipartite graph from the Yeast8 GEM, calculating centrality metrics",Figure 5i,,metals_in_metabolism/,Jupyter notebook,Simran Aulakh
metalinmetab_5_Yeast8_redundancy_rxn_with_multiple_ORFs.ipynb,"creates list of redundant enzymes in S. cerevisiae based on reaction - open reading frame annotations in Yeast8 metabolic model, calculates correlations in protein abundance along metal concentration gradients for pairs of redundant enzymes","pearson correlation, spearman correlation",-,preprocessing for Supplementary Figures 5c-d,metals_in_metabolism/,Jupyter notebook,Simran Aulakh
metalinmetab_6_plot_metalrxn_multiORF_redundancy.R,"visualises results of correlation analysis in ""metalinmetab_4_...""",-,-,Supplementary Figures 5c-d,metals_in_metabolism/,.R file,Simran Aulakh
