"ORF","term"
"YPL187W","unspecific"
"YPL214C","unspecific"
"YPL222W","unspecific"
"YPL230W","unspecific"
"YPL237W","unspecific"
"YPL257W-B","unspecific"
"YPL273W","unspecific"
"YPR010C","unspecific"
"YPR013C","unspecific"
"YPR015C","unspecific"
"YPR024W","unspecific"
"YPR031W","unspecific"
"YPR043W","unspecific"
"YPR056W","unspecific"
"YPR074C","unspecific"
"YPR086W","unspecific"
"YPR093C","unspecific"
"YPR107C","unspecific"
"YPR122W","unspecific"
"YPR137C-B","unspecific"
"YPR158C-D","unspecific"
"YPR158W-B","unspecific"
"YPR176C","unspecific"
"YPR186C","unspecific"
"YPR191W","unspecific"
"YBR187W","Mn"
"YBR187W","Ca"
"YBR207W","Fe"
"YBR235W","K"
"YBR295W","Cu"
"YBR296C","Na"
"YCL073C","Fe"
"YDL120W","Fe"
"YDL128W","Ca"
"YDL128W","K"
"YDL206W","Ca"
"YDR038C","Na"
"YDR039C","Na"
"YDR039C","K"
"YDR040C","Na"
"YDR040C","K"
"YDR205W","Zn"
"YDR270W","Cu"
"YDR456W","Na"
"YDR456W","K"
"YDR506C","Fe"
"YEL065W","Fe"
"YER053C","Cu"
"YER145C","Fe"
"YFL041W","Fe"
"YFL050C","Mg"
"YGL006W","Ca"
"YGL167C","Ca"
"YGL167C","Mn"
"YGL255W","Zn"
"YGR217W","Ca"
"YHL040C","Fe"
"YHL047C","Fe"
"YHR050W","Mn"
"YHR175W","Cu"
"YIL023C","Zn"
"YJL093C","K"
"YJL094C","K"
"YJL129C","K"
"YJL133W","Fe"
"YJR054W","K"
"YJR106W","Ca"
"YKL064W","Mg"
"YKL175W","Zn"
"YKR050W","K"
"YKR052C","Fe"
"YKR106W","Fe"
"YLL009C","Cu"
"YLR034C","Mn"
"YLR130C","Zn"
"YLR138W","K"
"YLR138W","Na"
"YLR220W","Fe"
"YLR220W","Mn"
"YLR411W","Cu"
"YML047C","K"
"YML123C","Mn"
"YMR038C","Cu"
"YMR058W","Fe"
"YMR166C","Mg"
"YMR243C","Zn"
"YMR319C","Cu"
"YMR319C","Fe"
"YNL259C","Cu"
"YNL291C","Ca"
"YNL321W","Ca"
"YNL321W","Na"
"YNL321W","K"
"YNR039C","Zn"
"YOL122C","Mn"
"YOL130W","Mg"
"YOL158C","Fe"
"YOR079C","Mn"
"YOR079C","Zn"
"YOR087W","Ca"
"YOR087W","K"
"YOR087W","Na"
"YOR316C","Zn"
"YOR334W","Mg"
"YPL060W","Mg"
"YPR124W","Cu"
"YDL206W","Na"
"YJR106W","Na"
"YDR038C","K"
"YDR534C","Fe"
"YOR382W","Fe"
"YOR383C","Fe"
"YLR214W","Fe"
"YKL220C","Fe"
"YOR381W","Fe"
"YNR060W","Fe"
"YDR270W","Fe"
"YLL051C","Fe"
"YLR034C","Fe"
"YOR316C","Fe"
"YOR384W","Fe"
"YMR319C","Zn"
"YML123C","Zn"
"YLL051C","Cu"
"YBL105C","Ca"
"YBR213W","Fe"
"YER017C","unspecific"
"YER078C","unspecific"
"YFR006W","unspecific"
"YGL160W","Fe"
"YHR047C","unspecific"
"YHR113W","unspecific"
"YHR132C","unspecific"
"YHR165C","unspecific"
"YIL137C","unspecific"
"YKL103C","unspecific"
"YKL157W","unspecific"
"YKL159C","Ca"
"YKL171W","Ca"
"YLR047C","Fe"
"YLR047C","unspecific"
"YLR433C","Ca"
"YML057W","Ca"
"YML072C","Ca"
"YMR089C","unspecific"
"YMR154C","Ca"
"YMR274C","unspecific"
"YNL045W","unspecific"
"YOL152W","Fe"
"YOL154W","unspecific"
"YOR086C","Ca"
"YOR176W","Fe"
"YOR197W","Ca"
"YOR261C","unspecific"
"YOR356W","unspecific"
