Entry	Mass	Gene Names (ordered locus)
P13586	104571	YGL167C
P13587	120357	YDR040C
P13663	39544	YDR158W
P13712	47365	YBR195C
P13856	30391	YGR152C
P14020	30362	YPR183W
P14064	62412	YKL109W
P14065	35079	YOR120W
P14120	11415	YGL030W
P14126	43758	YOR063W
P14164	81753	YKL112W
P14180	109882	YBR038W
P14242	99355	YNL082W
P14284	172957	YPL167C
P14291	95538	YLR263W
P14306	24357	YLR178C
P14540	39621	YKL060C
P14680	91245	YJL141C
P14681	42692	YGR040W
P14682	34065	YDR054C
P14693	37404	YHR083W
P14724	14081	YFR036W
P14736	87174	YER162C
P14737	148398	YDR217C
P14741	34025	YKR026C
P14742	80047	YKL104C
P14743	52838	YLR195C
P14747	68528	YML057W
P14772	176874	YLL015W
P14832	17391	YDR155C
P14904	57093	YKL103C
P14906	75345	YOR254C
P14907	86516	YJL041W
P14908	39727	YMR228W
P14922	107202	YBR112C
P15019	37036	YLR354C
P15108	80900	YMR186W
P15180	67959	YDR037W
P15202	58555	YDR256C
P15274	93302	YML035C
P15303	85385	YPR181C
P15315	24425	YGL166W
P15367	18762	YIR022W
P15424	76269	YDR194C
P15436	124619	YDL102W
P15442	190193	YDR283C
P15454	20637	YDR454C
P15496	33352	YPL117C
P15565	64052	YDR120C
P15624	67365	YLR060W
P15625	57511	YFL022C
P15646	34465	YDL014W
P15700	22933	YKL024C
P15703	34119	YGR282C
P15705	66265	YOR027W
P15731	16456	YBR082C
P15732	16281	YDR059C
P15790	44668	YIL035C
P15801	143502	YOR330C
P15807	31918	YBR213W
P15873	28916	YBR088C
P15891	65576	YCR088W
P15938	121653	YKR086W
P15992	23880	YBR072W
P16140	57749	YBR127C
P16370	35298	YIL021W
P16387	46343	YER178W
P16451	45362	YGR193C
P16467	61912	YLR134W
P16474	74468	YJL034W
P16521	115945	YLR249W
P16522	73114	YHR166C
P16550	36493	YCL050C
P16603	76772	YHR042W
P16622	44596	YOR176W
P16649	78308	YCR084C
P16658	44109	YLR105C
P16661	51929	YBR110W
P16664	75317	YDR137W
P16861	107970	YGR240C
P16862	104618	YMR205C
P16892	40772	YBL016W
P17064	58201	YER056C
P17065	84652	YNL272C
P17076	28125	YHL033C
P17106	39388	YJR060W
P17119	84004	YPR141C
P17157	34906	YPL031C
P17214	81800	YLR233C
P17255	118637	YDL185W
P17260	32158	YNL322C
P17442	134029	YGR233C
P17505	35650	YKL085W
P17555	57521	YNL138W
P17629	87829	YDR138W
P17649	52946	YGR019W
P17695	15861	YDR513W
P17709	55377	YCL040W
P17883	163726	YPR189W
P17890	27724	YNL151C
P17891	26532	YGR167W
P17898	44829	YNL130C
P17967	58227	YCL043C
P18238	33313	YBR085W
P18239	34426	YBL030C
P18409	56237	YAL010C
P18410	30114	YAL009W
P18412	55157	YBR083W
P18480	102543	YBR289W
P18494	79383	YER040W
P18562	24594	YHR128W
P18759	84056	YBR080C
P18851	46581	YOR212W
P18852	12625	YJR086W
P18888	37607	YHL025W
P18898	42690	YGL155W
P18899	46233	YMR173W
P18961	76664	YMR104C
P19073	21323	YLR229C
P19097	206947	YPL231W
P19145	65656	YKR039W
P19146	20658	YDL137W
P19211	17131	YJR047C
P19262	50431	YDR148C
P19263	123358	YLR071C
P19358	42256	YDR502C
P19414	85368	YLR304C
P19454	39404	YOR061W
P19524	180680	YOR326W
P19541	50082	YPL133C
P19657	102172	YPL036W
P19658	71294	YJL085W
P19659	120309	YOL051W
P19807	62056	YGL077C
P19812	224838	YGR184C
P19880	72533	YML007W
P19882	60752	YLR259C
P19955	13689	YFR049W
P20050	68876	YIL072W
P20052	33227	YOL001W
P20081	12158	YNL135C
P20095	99814	YNR011C
P20107	48345	YMR243C
P20133	36666	YPR176C
P20424	59624	YPR088C
P20433	25414	YJL140W
P20434	25079	YBR154C
P20435	17910	YPR187W
P20436	16511	YOR224C
P20447	58827	YGL078C
P20448	87193	YJL033W
P20449	53874	YOR046C
P20457	62263	YKL045W
P20459	34718	YJR007W
P20485	66317	YLR133W
P20486	17795	YBR135W
P20604	35538	YDL047W
P20606	21451	YPL218W
P20676	113581	YOR098C
P20795	79271	YLR396C
P20840	70340	YJR004C
P20967	114416	YIL125W
P21147	58403	YGL055W
P21182	46232	YOL052C
P21190	41858	YJR094C
P21192	86634	YLR131C
P21242	31536	YOR362C
P21243	28001	YGL011C
P21268	94572	YJL157C
P21269	62485	YER168C
P21306	6743	YPL271W
P21372	96359	YBR237W
P21373	59469	YJR049C
P21374	28024	YJR050W
P21375	55065	YJR051W
P21524	99561	YER070W
P21538	91874	YBR049C
P21560	39084	YPL215W
P21576	78737	YKR001C
P21651	35683	YJR021C
P21672	97515	YIL066C
P21691	76933	YKR101W
P21734	24178	YDR177W
P21801	30231	YLL041C
P21825	31347	YPL094C
P21826	62794	YIR031C
P21827	53014	YGL097W
P21951	255671	YNL262W
P21954	48190	YDL066W
P21957	46065	YHL020C
P21965	43136	YNL307C
P22007	48190	YDL090C
P22082	194051	YOR290C
P22108	36841	YDR530C
P22133	40731	YOL126C
P22134	34333	YER142C
P22137	187234	YGL206C
P22138	135742	YPR010C
P22139	8278	YOR210W
P22140	44560	YHR123W
P22141	22517	YER012W
P22146	59582	YMR307W
P22147	175460	YGL173C
P22149	77683	YGL071W
P22203	26471	YOR332W
P22204	66148	YGR092W
P22211	85990	YNL183C
P22213	74679	YDR189W
P22214	25058	YLR268W
P22216	91962	YPL153C
P22217	11235	YLR043C
P22219	166372	YBR097W
P22224	105064	YGL233W
P22276	129456	YOR207C
P22289	7476	YGR183C
P22336	70348	YAR007C
P22515	114266	YKL210W
P22516	98806	YPL008W
P22517	50447	YOL016C
P22543	100921	YLR240W
P22579	174839	YOL004W
P22696	19405	YJR017C
P22768	46928	YOL058W
P22803	11204	YGR209C
P22804	15720	YIL004C
P22855	124499	YGL156W
P22936	41439	YKL114C
P22943	11693	YFL014W
P23179	45413	YHL022C
P23201	163143	YLL021W
P23202	40271	YNL229C
P23254	73806	YPR074C
P23255	161471	YCR042C
P23287	63002	YLR433C
P23291	61715	YHR135C
P23292	62079	YNL154C
P23293	74239	YPR161C
P23301	17114	YEL034W
P23337	80510	YFR015C
P23394	66641	YDR243C
P23503	54151	YNL240C
P23542	46058	YLR027C
P23561	80721	YLR362W
P23585	59841	YMR011W
P23594	41938	YDL134C
P23595	43047	YDL188C
P23615	168291	YGR116W
P23638	28714	YGR135W
P23639	27162	YML092C
P23642	61092	YML115C
P23643	116922	YDR495C
P23644	42038	YMR203W
P23724	26871	YBL041W
P23776	51311	YLR300W
P23900	73877	YLL043W
P23968	22596	YHR026W
P24004	117276	YKL197C
P24276	139954	YDR293C
P24279	107518	YEL032W
P24280	34901	YMR079W
P24309	47741	YKL149C
P24384	130011	YER013W
P24482	78340	YPR175W
P24583	131477	YBL105C
P24783	60999	YNL112W
P24784	67917	YPL119C
P24813	45752	YDR423C
P24814	132734	YJR090C
P24867	32095	YNL289W
P24868	54871	YGR108W
P24869	56247	YPR119W
P24870	49476	YDL155W
P25042	41838	YPR065W
P25043	28268	YOR157C
P25044	38868	YDL230W
P25045	62207	YMR296C
P25046	24857	YBL093C
P25087	43431	YML008C
P25293	47885	YKR048C
P25294	37590	YNL007C
P25296	19639	YKL190W
P25297	64382	YML123C
P25298	79960	YMR061W
P25299	32791	YGL044C
P25300	75046	YCR038C
P25301	52247	YDR004W
P25302	123806	YER111C
P25303	41543	YMR214W
P25333	66666	YCR008W
P25336	116534	YCR092C
P25340	56040	YGL012W
P25341	81462	YCR091W
P25342	37025	YCR002C
P25343	30250	YCR009C
P25344	38971	YCL032W
P25346	57322	YCR098C
P25353	84734	YCR026C
P25357	138397	YCR033W
P25358	40002	YCR034W
P25359	44011	YCR035C
P25364	63647	YCR065W
P25368	34470	YCL031C
P25369	39872	YCL034W
P25373	12380	YCL035C
P25374	54467	YCL017C
P25375	81934	YCL057W
P25376	69671	YCL025C
P25377	39348	YCR105W
P25378	23338	YCR027C
P25382	57026	YCR072C
P25385	27500	YLR078C
P25386	206452	YDL058W
P25389	116475	YCL024W
P25390	152718	YCR073C
P25441	46667	YDL150W
P25443	27450	YGL123W
P25451	22605	YER094C
P25453	36613	YER179W
P25454	42963	YER095W
P25491	44671	YNL064C
P25502	111414	YKL015W
P25515	16351	YEL027W
P25554	29381	YCL010C
P25555	48729	YCL011C
P25567	48060	YCL037C
P25573	47156	YCL044C
P25574	87181	YCL045C
P25576	29673	YCL047C
P25580	47923	YCL052C
P25582	96485	YCL054W
P25583	38672	YCL055W
P25586	37159	YCL059C
P25588	124326	YCL061C
P25591	47843	YCL063W
P25604	43330	YCL008C
P25605	33987	YCL009C
P25613	30726	YCR010C
P25615	67527	YCR014C
P25618	107883	YCR017C
P25623	96137	YCR030C
P25627	30742	YCR047C
P25635	103983	YCR057C
P25637	29017	YCR059C
P25641	58435	YCR068W
P25644	88511	YCR077C
P25646	49421	YCR079W
P25648	166861	YCR081W
P25651	21751	YCR086W
P25653	166036	YCR089W
P25655	240279	YCR093W
P25656	44982	YCR094W
P25693	35207	YDL127W
P25694	91996	YDL126C
P25719	19919	YML078W
P25808	69422	YFL002C
P25846	109409	YHR120W
P25847	108884	YOL090W
P26188	21499	YDL200C
P26263	61580	YGR087C
P26309	67360	YGL116W
P26321	33715	YPL131W
P26364	25194	YER170W
P26370	61224	YDL170W
P26448	35028	YMR055C
P26449	38445	YOR026W
P26570	77491	YML016C
P26754	29936	YNL312W
P26755	13816	YJL173C
P26783	25039	YJR123W
P26784	22201	YIL133C
P26785	22249	YNL069C
P26786	21622	YOR096W
P26793	43279	YKL113C
P27351	80453	YJR005W
P27466	50296	YFR014C
P27472	80079	YLR258W
P27476	44535	YGR159C
P27514	99490	YNR013C
P27515	56296	YNR012W
P27614	64597	YJL172W
P27616	34603	YAR015W
P27636	110242	YAR019C
P27637	78981	YAR014C
P27654	20728	YBR067C
P27680	36331	YOL096C
P27692	115650	YML010W
P27697	56742	YGL119W
P27705	55532	YGL035C
P27796	44730	YIL160C
P27801	107398	YLR148W
P27809	51387	YDR483W
P27810	46022	YOR099W
P27825	56968	YAL058W
P27882	21639	YGR029W
P27895	113311	YEL061C
P27999	14288	YGL070C
P28000	16151	YNL113W
P28004	42483	YAL032C
P28005	19574	YAL033W
P28007	21480	YHR089C
P28240	62409	YER065C
P28241	39739	YOR136W
P28263	24633	YEL012W
P28272	34801	YKL216W
P28274	64710	YBL039C
P28319	24268	YKL096W
P28320	32312	YKL095W
P28321	35563	YKL094W
P28495	30699	YKL007W
P28496	48992	YKL008C
P28519	43038	YMR201C
P28627	21433	YMR150C
P28707	24082	YKL117W
P28708	58956	YKL116C
P28737	40343	YGR028W
P28742	125795	YBL063W
P28743	78378	YPL155C
P28777	40838	YGL148W
P28791	43882	YDR498C
P28795	50676	YDR329C
P28817	56288	YDR036C
P28834	39324	YNL037C
P29029	59015	YLR286C
P29055	38200	YPR086W
P29056	66906	YGR246C
P29295	57340	YPL204W
P29311	30091	YER177W
P29340	21118	YGR133W
P29366	61605	YBR200W
P29453	28112	YLL045C
P29461	85868	YOR208W
P29465	131601	YBR023C
P29468	64552	YKR002W
P29469	98780	YBL023C
P29496	86411	YLR274W
P29509	34238	YDR353W
P29539	217931	YBR275C
P29547	47088	YPL048W
P29703	37508	YKL019W
P29704	51720	YHR190W
P29952	48189	YER003C
P30283	50431	YPR120C
P30605	63570	YDR497C
P30619	83480	YDR164C
P30620	76399	YMR137C
P30624	77866	YOR317W
P30656	31637	YPR103W
P30657	29443	YFR050C
P30665	105003	YPR019W
P30771	109430	YMR080C
P30775	46770	YGL143C
P30822	124104	YGR218W
P30902	19810	YKL016C
P30952	62791	YNL117W
P31109	13201	YAL030W
P31111	100035	YDR285W
P31115	50889	YFL001W
P31116	38502	YJR139C
P31244	91430	YBR114W
P31373	42542	YAL012W
P31374	152332	YAL017W
P31376	72514	YAL011W
P31377	29049	YAL014C
P31378	45577	YAL015C
P31380	128507	YAL019W
P31382	86870	YAL023C
P31383	70907	YAL016W
P31384	94670	YAL021C
P31385	46978	YAL013W
P31412	44189	YKL080W
P31539	102035	YLL026W
P31688	102976	YDR074W
P31755	55156	YGL038C
P32074	104831	YNL287W
P32178	29747	YPR060C
P32179	39149	YOL064C
P32259	111297	YNL236W
P32266	99178	YOR211C
P32288	41766	YPR035W
P32316	58712	YBL015W
P32318	34991	YGR144W
P32319	177777	YBL017C
P32323	73354	YNR044W
P32324	93289	YOR133W; YDR385W
P32325	80690	YDR052C
P32327	130167	YBR218C
P32328	65880	YPR111W
P32329	60010	YLR120C
P32332	35153	YKL120W
P32333	209977	YPL082C
P32334	133115	YGR014W
P32335	50880	YLR203C
P32336	94104	YOR373W
P32337	121031	YMR308C
P32340	57250	YML120C
P32342	18425	YKL122C
P32345	35264	YDR075W
P32347	41349	YDR047W
P32349	74017	YPR190C
P32350	83843	YLL019C
P32353	42730	YLR056W
P32354	65815	YIL150C
P32356	85879	YDR001C
P32357	41688	YBL074C
P32361	126976	YHR079C
P32363	51242	YPL175W
P32364	73799	YKL079W
P32366	39791	YLR447C
P32367	73554	YBR123C
P32368	71125	YKL212W
P32377	44116	YNR043W
P32378	41001	YNR041C
P32379	28617	YGR253C
P32380	111782	YDR356W
P32381	44074	YDL029W
P32383	100548	YPL268W
P32386	189162	YLL048C
P32389	74373	YNL103W
P32419	37186	YDL078C
P32432	74785	YLR403W
P32447	31603	YJL115W
P32454	107755	YKL157W
P32457	60054	YLR314C
P32458	47649	YJR076C
P32461	59775	YKL191W
P32462	50615	YNL280C
P32465	63261	YHR094C
P32466	62558	YDR345C
P32467	63910	YHR092C
P32468	46668	YHR107C
P32471	22627	YAL003W
P32472	14487	YDR519W
P32473	40054	YBR221C
P32474	58982	YDR518W
P32476	55126	YGR175C
P32478	41059	YJL159W
P32479	93858	YBL008W
P32480	98445	YOR038C
P32481	57866	YER025W
P32485	48858	YLR113W
P32486	80123	YPR159W
P32490	56720	YOR231W
P32491	56758	YPL140C
P32492	169344	YAL029C
P32494	79282	YDR176W
P32495	17122	YDL208W
P32497	93204	YMR309C
P32499	77881	YLR335W
P32500	74134	YML031W
P32501	81161	YDR211W
P32502	42570	YLR291C
P32504	111917	YGR140W
P32505	58321	YGL122C
P32521	160267	YIR006C
P32523	56570	YLL036C
P32526	74245	YPL269W
P32527	49020	YGR285C
P32528	201832	YBR208C
P32529	13661	YJR063W
P32558	118630	YGL207W
P32561	48904	YNL330C
P32562	81031	YMR001C
P32563	95529	YOR270C
P32565	104232	YIL075C
P32566	57079	YGR229C
P32567	95031	YMR165C
P32569	78476	YER022W
P32570	13863	YBR253W
P32571	105192	YDR069C
P32573	31109	YNL202W
P32578	91071	YDR422C
P32579	46538	YGL169W
P32580	84324	YPL029W
P32582	56022	YGR155W
P32584	27888	YDR410C
P32585	34289	YGR104C
P32588	50763	YNL016W
P32589	77366	YPL106C
P32591	92926	YJL176C
P32597	156743	YIL126W
P32598	35907	YER133W
P32599	71773	YDR129C
P32600	281568	YKL203C
P32602	32803	YBL050W
P32604	52595	YJL155C
P32605	34378	YBR119W
P32607	19016	YOL067C
P32609	59443	YDR323C
P32610	29194	YEL051W
P32614	50844	YEL047C
P32621	56822	YEL042W
P32622	55874	YEL041W
P32623	49906	YEL040W
P32626	25187	YEL038W
P32628	42367	YEL037C
P32629	58182	YEL036C
P32639	246185	YER172C
P32641	75727	YER173W
P32642	27493	YER174C
P32643	34768	YER175C
P32644	126970	YER176W
P32657	168241	YER164W
P32660	177798	YER166W
P32768	160668	YAR050W
P32769	68730	YKR084C
P32771	41042	YDL168W
P32773	32201	YOR194C
P32774	13458	YKL058W
P32776	72894	YDR311W
P32783	50341	YBR236C
P32784	85694	YBL011W
P32789	76372	YBL009W
P32790	135848	YBL007C
P32791	78854	YLR214W
P32793	50902	YHR016C
P32794	84748	YLR397C
P32795	81772	YPR024W
P32796	77242	YML042W
P32797	104904	YDL220C
P32798	48155	YOR316C
P32799	15021	YGL191W
P32800	30752	YJL210W
P32801	72150	YKL048C
P32802	75963	YLR083C
P32803	23332	YGL200C
P32807	70647	YMR284W
P32828	71071	YDL013W
P32829	77650	YMR224C
P32830	12284	YBR091C
P32832	49651	YMR091C
P32833	71238	YBR060C
P32835	24810	YLR293C
P32838	42433	YNR032W
P32839	51107	YDR375C
P32842	17037	YPL234C
P32844	93428	YIL068C
P32849	134002	YLR032W
P32854	33006	YOR036W
P32855	122225	YPR055W
P32860	29174	YKL040C
P32861	55988	YKL035W
P32862	128240	YKL038W
P32863	101754	YGL163C
P32864	67374	YOR370C
P32867	33106	YPL232W
P32873	124913	YPL115C
P32874	259163	YMR207C
P32891	65293	YDL174C
P32892	84843	YLL008W
P32893	63368	YGR166W
P32895	47047	YKL181W
P32897	23244	YNR017W
P32898	112180	YDR430C
P32899	21885	YHR148W
P32900	81849	YHR149C
P32901	68044	YKR093W
P32905	28024	YGR214W
P32906	63057	YJR131W
P32908	141280	YFL008W
P32910	36135	YNR003C
P32911	12312	YNL244C
P32912	36711	YGL212W
P32913	63204	YOR132W
P32914	11158	YGR063C
P32915	52937	YLR378C
P32916	69278	YDR292C
P32917	102727	YDR103W
P32939	23043	YML001W
P32943	44145	YGR109C
P32944	92468	YJL187C
P33122	32689	YOR344C
P33201	27058	YKL009W
P33202	167843	YKL010C
P33203	69065	YKL012W
P33296	28383	YER100W
P33297	48256	YOR117W
P33298	47894	YDR394W
P33299	51983	YKL145W
P33300	44808	YPL057C
P33301	96365	YDR369C
P33302	170438	YOR153W
P33307	109356	YGL238W
P33308	17376	YNR010W
P33309	44058	YNL001W
P33310	75950	YLR188W
P33313	44112	YBR155W
P33314	126663	YKL092C
P33317	15307	YBR252W
P33322	54705	YLR175W
P33327	124332	YDL215C
P33328	12957	YOR327C
P33330	43416	YOR184W
P33332	154695	YER008C
P33333	33887	YDL052C
P33334	279504	YHR165C
P33338	108911	YNL243W
P33339	120229	YGR047C
P33399	32104	YDL051W
P33400	68232	YHL027W
P33401	63112	YKL127W
P33413	80617	YHL016C
P33416	91336	YDR258C
P33418	126820	YKL205W
P33419	29280	YPL124W
P33420	100290	YPL174C
P33421	22068	YKL141W
P33441	44996	YML062C
P33442	28743	YLR441C
P33734	61068	YBR248C
P33748	77861	YMR037C
P33751	26733	YDR538W
P33753	72852	YKR056W
P33754	24231	YBR171W
P33755	65782	YBR170C
P33760	115571	YNL329C
P33767	49392	YEL002C
P33775	92675	YDL095W
