ORF	Gene.Name	SGD.Num	GO.Term.Type	GO.Term.Description	GO.Term.Number	Annotation.Status
R0010W	FLP1	S000029654	F	DNA binding	GO:0003677	ORF|Verified
R0020C	REP1	S000029675	F	molecular_function	GO:0003674	ORF|Verified
R0030W	RAF1	S000029674	F	molecular_function	GO:0003674	ORF|Verified
R0040C	REP2	S000029676	F	molecular_function	GO:0003674	ORF|Verified
RDN18-1	RDN18-1	S000006482	F	structural constituent of ribosome	GO:0003735	rRNA_gene
RDN18-1	RDN18-1	S000006482	F	structural molecule activity	GO:0005198	rRNA_gene
RDN18-2	RDN18-2	S000006483	F	structural constituent of ribosome	GO:0003735	rRNA_gene
RDN18-2	RDN18-2	S000006483	F	structural molecule activity	GO:0005198	rRNA_gene
RDN25-1	RDN25-1	S000006484	F	structural constituent of ribosome	GO:0003735	rRNA_gene
RDN25-1	RDN25-1	S000006484	F	structural molecule activity	GO:0005198	rRNA_gene
RDN25-2	RDN25-2	S000006485	F	structural constituent of ribosome	GO:0003735	rRNA_gene
RDN25-2	RDN25-2	S000006485	F	structural molecule activity	GO:0005198	rRNA_gene
RDN5-1	RDN5-1	S000006479	F	structural constituent of ribosome	GO:0003735	rRNA_gene
RDN5-1	RDN5-1	S000006479	F	structural molecule activity	GO:0005198	rRNA_gene
RDN5-2	RDN5-2	S000006480	F	structural constituent of ribosome	GO:0003735	rRNA_gene
RDN5-2	RDN5-2	S000006480	F	structural molecule activity	GO:0005198	rRNA_gene
RDN5-3	RDN5-3	S000006481	F	structural constituent of ribosome	GO:0003735	rRNA_gene
RDN5-3	RDN5-3	S000006481	F	structural molecule activity	GO:0005198	rRNA_gene
RDN5-4	RDN5-4	S000029708	F	structural constituent of ribosome	GO:0003735	rRNA_gene
RDN5-4	RDN5-4	S000029708	F	structural molecule activity	GO:0005198	rRNA_gene
RDN5-5	RDN5-5	S000029710	F	structural constituent of ribosome	GO:0003735	rRNA_gene
RDN5-5	RDN5-5	S000029710	F	structural molecule activity	GO:0005198	rRNA_gene
RDN5-6	RDN5-6	S000029711	F	structural constituent of ribosome	GO:0003735	rRNA_gene
RDN5-6	RDN5-6	S000029711	F	structural molecule activity	GO:0005198	rRNA_gene
RDN58-1	RDN58-1	S000006488	F	structural constituent of ribosome	GO:0003735	rRNA_gene
RDN58-1	RDN58-1	S000006488	F	structural molecule activity	GO:0005198	rRNA_gene
RDN58-2	RDN58-2	S000006489	F	structural constituent of ribosome	GO:0003735	rRNA_gene
RDN58-2	RDN58-2	S000006489	F	structural molecule activity	GO:0005198	rRNA_gene
RNA170	RNA170	S000114171	F	molecular_function	GO:0003674	ncRNA_gene
RPR1	RPR1	S000006490	F	hydrolase activity	GO:0016787	ncRNA_gene
RPR1	RPR1	S000006490	F	nuclease activity	GO:0004518	ncRNA_gene
RUF20	RUF20	S000130127	F	molecular_function	GO:0003674	ncRNA_gene
RUF21	RUF21	S000130129	F	molecular_function	GO:0003674	ncRNA_gene
RUF22	RUF22	S000130131	F	molecular_function	GO:0003674	ncRNA_gene
RUF23	RUF23	S000130133	F	molecular_function	GO:0003674	ncRNA_gene
RUF5-1	RUF5-1	S000028470	F	molecular_function	GO:0003674	ncRNA_gene
RUF5-2	RUF5-2	S000028474	F	molecular_function	GO:0003674	ncRNA_gene
SCR1	SCR1	S000006491	F	molecular_function	GO:0003674	ncRNA_gene
SRG1	SRG1	S000029010	F	molecular_function	GO:0003674	ncRNA_gene
YAL001C	TFC3	S000000001	F	DNA binding	GO:0003677	ORF|Verified
YAL001C	TFC3	S000000001	F	nucleic acid binding transcription factor activity	GO:0001071	ORF|Verified
YAL001C	TFC3	S000000001	F	transcription factor activity, protein binding	GO:0000988	ORF|Verified
YAL002W	VPS8	S000000002	F	enzyme binding	GO:0019899	ORF|Verified
YAL003W	EFB1	S000000003	F	guanyl-nucleotide exchange factor activity	GO:0005085	ORF|Verified
YAL004W		S000002136	F	molecular_function	GO:0003674	ORF|Dubious
YAL005C	SSA1	S000000004	F	ATPase activity	GO:0016887	ORF|Verified
YAL005C	SSA1	S000000004	F	RNA binding	GO:0003723	ORF|Verified
YAL005C	SSA1	S000000004	F	hydrolase activity	GO:0016787	ORF|Verified
YAL005C	SSA1	S000000004	F	unfolded protein binding	GO:0051082	ORF|Verified
YAL007C	ERP2	S000000005	F	molecular_function	GO:0003674	ORF|Verified
YAL008W	FUN14	S000000006	F	molecular_function	GO:0003674	ORF|Verified
YAL009W	SPO7	S000000007	F	hydrolase activity	GO:0016787	ORF|Verified
YAL009W	SPO7	S000000007	F	phosphatase activity	GO:0016791	ORF|Verified
YAL010C	MDM10	S000000008	F	molecular_function	GO:0003674	ORF|Verified
YAL011W	SWC3	S000000009	F	molecular_function	GO:0003674	ORF|Verified
YAL012W	CYS3	S000000010	F	lyase activity	GO:0016829	ORF|Verified
YAL013W	DEP1	S000000011	F	molecular_function	GO:0003674	ORF|Verified
YAL014C	SYN8	S000000012	F	other		ORF|Verified
YAL015C	NTG1	S000000013	F	hydrolase activity	GO:0016787	ORF|Verified
YAL015C	NTG1	S000000013	F	hydrolase activity, acting on glycosyl bonds	GO:0016798	ORF|Verified
YAL015C	NTG1	S000000013	F	lyase activity	GO:0016829	ORF|Verified
YAL015C	NTG1	S000000013	F	nuclease activity	GO:0004518	ORF|Verified
YAL016C-A		S000028728	F	molecular_function	GO:0003674	ORF|Dubious
YAL016C-B		S000028528	F	molecular_function	GO:0003674	ORF|Dubious
YAL016W	TPD3	S000000014	F	hydrolase activity	GO:0016787	ORF|Verified
YAL016W	TPD3	S000000014	F	phosphatase activity	GO:0016791	ORF|Verified
YAL017W	PSK1	S000000015	F	kinase activity	GO:0016301	ORF|Verified
YAL017W	PSK1	S000000015	F	transferase activity	GO:0016740	ORF|Verified
YAL018C	LDS1	S000000016	F	molecular_function	GO:0003674	ORF|Verified
YAL019W	FUN30	S000000017	F	ATPase activity	GO:0016887	ORF|Verified
YAL019W	FUN30	S000000017	F	DNA binding	GO:0003677	ORF|Verified
YAL019W	FUN30	S000000017	F	chromatin binding	GO:0003682	ORF|Verified
YAL019W	FUN30	S000000017	F	hydrolase activity	GO:0016787	ORF|Verified
YAL019W-A		S000028729	F	molecular_function	GO:0003674	ORF|Dubious
YAL020C	ATS1	S000000018	F	molecular_function	GO:0003674	ORF|Verified
YAL021C	CCR4	S000000019	F	hydrolase activity	GO:0016787	ORF|Verified
YAL021C	CCR4	S000000019	F	nuclease activity	GO:0004518	ORF|Verified
YAL022C	FUN26	S000000020	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YAL023C	PMT2	S000000021	F	transferase activity	GO:0016740	ORF|Verified
YAL023C	PMT2	S000000021	F	transferase activity, transferring glycosyl groups	GO:0016757	ORF|Verified
YAL024C	LTE1	S000000022	F	guanyl-nucleotide exchange factor activity	GO:0005085	ORF|Verified
YAL025C	MAK16	S000000023	F	molecular_function	GO:0003674	ORF|Verified
YAL026C	DRS2	S000000024	F	ATPase activity	GO:0016887	ORF|Verified
YAL026C	DRS2	S000000024	F	hydrolase activity	GO:0016787	ORF|Verified
YAL026C-A		S000028730	F	molecular_function	GO:0003674	ORF|Dubious
YAL027W	SAW1	S000000025	F	DNA binding	GO:0003677	ORF|Verified
YAL028W	FRT2	S000000026	F	molecular_function	GO:0003674	ORF|Verified
YAL029C	MYO4	S000000027	F	cytoskeletal protein binding	GO:0008092	ORF|Verified
YAL029C	MYO4	S000000027	F	hydrolase activity	GO:0016787	ORF|Verified
YAL030W	SNC1	S000000028	F	other		ORF|Verified
YAL031C	GIP4	S000000029	F	enzyme binding	GO:0019899	ORF|Verified
YAL031C	GIP4	S000000029	F	enzyme regulator activity	GO:0030234	ORF|Verified
YAL031W-A		S000028731	F	molecular_function	GO:0003674	ORF|Dubious
YAL032C	PRP45	S000000030	F	other		ORF|Verified
YAL033W	POP5	S000000031	F	RNA binding	GO:0003723	ORF|Verified
YAL033W	POP5	S000000031	F	hydrolase activity	GO:0016787	ORF|Verified
YAL033W	POP5	S000000031	F	nuclease activity	GO:0004518	ORF|Verified
YAL034C	FUN19	S000002134	F	molecular_function	GO:0003674	ORF|Verified
YAL034C-B		S000002137	F	molecular_function	GO:0003674	ORF|Dubious
YAL034W-A	MTW1	S000000032	F	molecular_function	GO:0003674	ORF|Verified
YAL035W	FUN12	S000000033	F	GTPase activity	GO:0003924	ORF|Verified
YAL035W	FUN12	S000000033	F	RNA binding	GO:0003723	ORF|Verified
YAL035W	FUN12	S000000033	F	hydrolase activity	GO:0016787	ORF|Verified
YAL035W	FUN12	S000000033	F	ion binding	GO:0043167	ORF|Verified
YAL035W	FUN12	S000000033	F	translation factor activity, RNA binding	GO:0008135	ORF|Verified
YAL036C	RBG1	S000000034	F	ion binding	GO:0043167	ORF|Verified
YAL037C-A		S000028732	F	molecular_function	GO:0003674	ORF|Uncharacterized
YAL037C-B		S000028592	F	molecular_function	GO:0003674	ORF|Dubious
YAL037W		S000000035	F	molecular_function	GO:0003674	ORF|Uncharacterized
YAL038W	CDC19	S000000036	F	transferase activity	GO:0016740	ORF|Verified
YAL039C	CYC3	S000000037	F	lyase activity	GO:0016829	ORF|Verified
YAL040C	CLN3	S000000038	F	enzyme regulator activity	GO:0030234	ORF|Verified
YAL041W	CDC24	S000000039	F	guanyl-nucleotide exchange factor activity	GO:0005085	ORF|Verified
YAL042C-A		S000002138	F	molecular_function	GO:0003674	ORF|Dubious
YAL042W	ERV46	S000000040	F	molecular_function	GO:0003674	ORF|Verified
YAL043C	PTA1	S000000041	F	RNA binding	GO:0003723	ORF|Verified
YAL044C	GCV3	S000000042	F	oxidoreductase activity	GO:0016491	ORF|Verified
YAL044W-A	BOL1	S000007586	F	molecular_function	GO:0003674	ORF|Verified
YAL045C		S000000043	F	molecular_function	GO:0003674	ORF|Dubious
YAL046C	BOL3	S000000044	F	molecular_function	GO:0003674	ORF|Verified
YAL047C	SPC72	S000000045	F	structural molecule activity	GO:0005198	ORF|Verified
YAL047W-A		S000028733	F	molecular_function	GO:0003674	ORF|Dubious
YAL048C	GEM1	S000000046	F	GTPase activity	GO:0003924	ORF|Verified
YAL048C	GEM1	S000000046	F	hydrolase activity	GO:0016787	ORF|Verified
YAL048C	GEM1	S000000046	F	ion binding	GO:0043167	ORF|Verified
YAL049C	AIM2	S000000047	F	molecular_function	GO:0003674	ORF|Verified
YAL051W	OAF1	S000000048	F	DNA binding	GO:0003677	ORF|Verified
YAL051W	OAF1	S000000048	F	nucleic acid binding transcription factor activity	GO:0001071	ORF|Verified
YAL053W	FLC2	S000000049	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YAL054C	ACS1	S000000050	F	ligase activity	GO:0016874	ORF|Verified
YAL055W	PEX22	S000000051	F	enzyme regulator activity	GO:0030234	ORF|Verified
YAL056C-A		S000002139	F	molecular_function	GO:0003674	ORF|Dubious
YAL056W	GPB2	S000000052	F	enzyme regulator activity	GO:0030234	ORF|Verified
YAL056W	GPB2	S000000052	F	signal transducer activity	GO:0004871	ORF|Verified
YAL058W	CNE1	S000000054	F	unfolded protein binding	GO:0051082	ORF|Verified
YAL059C-A		S000028734	F	molecular_function	GO:0003674	ORF|Dubious
YAL059W	ECM1	S000000055	F	molecular_function	GO:0003674	ORF|Verified
YAL060W	BDH1	S000000056	F	oxidoreductase activity	GO:0016491	ORF|Verified
YAL061W	BDH2	S000000057	F	oxidoreductase activity	GO:0016491	ORF|Uncharacterized
YAL062W	GDH3	S000000058	F	oxidoreductase activity	GO:0016491	ORF|Verified
YAL063C	FLO9	S000000059	F	other		ORF|Verified
YAL063C-A		S000028813	F	molecular_function	GO:0003674	ORF|Uncharacterized
YAL064C-A	TDA8	S000002140	F	molecular_function	GO:0003674	ORF|Uncharacterized
YAL064W		S000000060	F	molecular_function	GO:0003674	ORF|Verified
YAL064W-B		S000002141	F	molecular_function	GO:0003674	ORF|Uncharacterized
YAL065C		S000001817	F	molecular_function	GO:0003674	ORF|Uncharacterized
YAL066W		S000000061	F	molecular_function	GO:0003674	ORF|Dubious
YAL067C	SEO1	S000000062	F	other		ORF|Verified
YAL067W-A		S000028593	F	molecular_function	GO:0003674	ORF|Uncharacterized
YAL068C	PAU8	S000002142	F	molecular_function	GO:0003674	ORF|Verified
YAL068W-A		S000028594	F	molecular_function	GO:0003674	ORF|Dubious
YAL069W		S000002143	F	molecular_function	GO:0003674	ORF|Dubious
YAR002C-A	ERP1	S000002129	F	molecular_function	GO:0003674	ORF|Verified
YAR002W	NUP60	S000000063	F	ion binding	GO:0043167	ORF|Verified
YAR002W	NUP60	S000000063	F	lipid binding	GO:0008289	ORF|Verified
YAR002W	NUP60	S000000063	F	structural molecule activity	GO:0005198	ORF|Verified
YAR003W	SWD1	S000000064	F	methyltransferase activity	GO:0008168	ORF|Verified
YAR003W	SWD1	S000000064	F	transferase activity	GO:0016740	ORF|Verified
YAR007C	RFA1	S000000065	F	DNA binding	GO:0003677	ORF|Verified
YAR007C	RFA1	S000000065	F	RNA binding	GO:0003723	ORF|Verified
YAR007C	RFA1	S000000065	F	mRNA binding	GO:0003729	ORF|Verified
YAR008W	SEN34	S000000066	F	hydrolase activity	GO:0016787	ORF|Verified
YAR008W	SEN34	S000000066	F	nuclease activity	GO:0004518	ORF|Verified
YAR014C	BUD14	S000000069	F	enzyme regulator activity	GO:0030234	ORF|Verified
YAR015W	ADE1	S000000070	F	ligase activity	GO:0016874	ORF|Verified
YAR018C	KIN3	S000000071	F	kinase activity	GO:0016301	ORF|Verified
YAR018C	KIN3	S000000071	F	transferase activity	GO:0016740	ORF|Verified
YAR019C	CDC15	S000000072	F	kinase activity	GO:0016301	ORF|Verified
YAR019C	CDC15	S000000072	F	transferase activity	GO:0016740	ORF|Verified
YAR019W-A		S000028735	F	molecular_function	GO:0003674	ORF|Dubious
YAR020C	PAU7	S000000073	F	molecular_function	GO:0003674	ORF|Verified
YAR023C		S000000074	F	molecular_function	GO:0003674	ORF|Uncharacterized
YAR027W	UIP3	S000000075	F	molecular_function	GO:0003674	ORF|Verified
YAR028W		S000000076	F	molecular_function	GO:0003674	ORF|Uncharacterized
YAR029W		S000000077	F	molecular_function	GO:0003674	ORF|Uncharacterized
YAR030C		S000001821	F	molecular_function	GO:0003674	ORF|Dubious
YAR031W	PRM9	S000000078	F	molecular_function	GO:0003674	ORF|Verified
YAR033W	MST28	S000000079	F	molecular_function	GO:0003674	ORF|Verified
YAR035C-A		S000028595	F	molecular_function	GO:0003674	ORF|Uncharacterized
YAR035W	YAT1	S000000080	F	transferase activity	GO:0016740	ORF|Verified
YAR042W	SWH1	S000000081	F	ion binding	GO:0043167	ORF|Verified
YAR042W	SWH1	S000000081	F	lipid binding	GO:0008289	ORF|Verified
YAR047C		S000000083	F	molecular_function	GO:0003674	ORF|Dubious
YAR050W	FLO1	S000000084	F	other		ORF|Verified
YAR053W		S000000085	F	molecular_function	GO:0003674	ORF|Dubious
YAR060C		S000000086	F	molecular_function	GO:0003674	ORF|Dubious
YAR064W		S000000089	F	molecular_function	GO:0003674	ORF|Uncharacterized
YAR066W		S000002144	F	molecular_function	GO:0003674	ORF|Uncharacterized
YAR068W		S000000091	F	molecular_function	GO:0003674	ORF|Uncharacterized
YAR069C		S000000092	F	molecular_function	GO:0003674	ORF|Dubious
YAR070C		S000000093	F	molecular_function	GO:0003674	ORF|Dubious
YAR071W	PHO11	S000000094	F	hydrolase activity	GO:0016787	ORF|Verified
YAR071W	PHO11	S000000094	F	phosphatase activity	GO:0016791	ORF|Verified
YAR073W	IMD1	S000000095	F	molecular_function	GO:0003674	ORF|Dubious
YAR073W	IMD1	S000000095	F	oxidoreductase activity	GO:0016491	ORF|Dubious
YAR075W		S000002145	F	molecular_function	GO:0003674	ORF|Dubious
YBL001C	ECM15	S000000097	F	molecular_function	GO:0003674	ORF|Verified
YBL002W	HTB2	S000000098	F	DNA binding	GO:0003677	ORF|Verified
YBL003C	HTA2	S000000099	F	DNA binding	GO:0003677	ORF|Verified
YBL004W	UTP20	S000000100	F	RNA binding	GO:0003723	ORF|Verified
YBL004W	UTP20	S000000100	F	mRNA binding	GO:0003729	ORF|Verified
YBL005W	PDR3	S000000101	F	nucleic acid binding transcription factor activity	GO:0001071	ORF|Verified
YBL006C	LDB7	S000000102	F	ATPase activity	GO:0016887	ORF|Verified
YBL006C	LDB7	S000000102	F	hydrolase activity	GO:0016787	ORF|Verified
YBL006W-A		S000028596	F	molecular_function	GO:0003674	ORF|Dubious
YBL007C	SLA1	S000000103	F	protein binding, bridging	GO:0030674	ORF|Verified
YBL007C	SLA1	S000000103	F	ubiquitin-like protein binding	GO:0032182	ORF|Verified
YBL008W	HIR1	S000000104	F	DNA binding	GO:0003677	ORF|Verified
YBL008W	HIR1	S000000104	F	chromatin binding	GO:0003682	ORF|Verified
YBL008W	HIR1	S000000104	F	transcription factor activity, protein binding	GO:0000988	ORF|Verified
YBL008W-A		S000028529	F	molecular_function	GO:0003674	ORF|Uncharacterized
YBL009W	ALK2	S000000105	F	kinase activity	GO:0016301	ORF|Verified
YBL009W	ALK2	S000000105	F	transferase activity	GO:0016740	ORF|Verified
YBL010C		S000000106	F	molecular_function	GO:0003674	ORF|Uncharacterized
YBL011W	SCT1	S000000107	F	transferase activity	GO:0016740	ORF|Verified
YBL012C		S000000108	F	molecular_function	GO:0003674	ORF|Dubious
YBL013W	FMT1	S000000109	F	transferase activity	GO:0016740	ORF|Verified
YBL014C	RRN6	S000000110	F	DNA binding	GO:0003677	ORF|Verified
YBL014C	RRN6	S000000110	F	nucleic acid binding transcription factor activity	GO:0001071	ORF|Verified
YBL014C	RRN6	S000000110	F	transcription factor activity, protein binding	GO:0000988	ORF|Verified
YBL014C	RRN6	S000000110	F	transcription factor binding	GO:0008134	ORF|Verified
YBL015W	ACH1	S000000111	F	hydrolase activity	GO:0016787	ORF|Verified
YBL015W	ACH1	S000000111	F	transferase activity	GO:0016740	ORF|Verified
YBL016W	FUS3	S000000112	F	kinase activity	GO:0016301	ORF|Verified
YBL016W	FUS3	S000000112	F	signal transducer activity	GO:0004871	ORF|Verified
YBL016W	FUS3	S000000112	F	transferase activity	GO:0016740	ORF|Verified
YBL017C	PEP1	S000000113	F	other		ORF|Verified
YBL018C	POP8	S000000114	F	hydrolase activity	GO:0016787	ORF|Verified
YBL018C	POP8	S000000114	F	nuclease activity	GO:0004518	ORF|Verified
YBL019W	APN2	S000000115	F	hydrolase activity	GO:0016787	ORF|Verified
YBL019W	APN2	S000000115	F	lyase activity	GO:0016829	ORF|Verified
YBL019W	APN2	S000000115	F	nuclease activity	GO:0004518	ORF|Verified
YBL020W	RFT1	S000000116	F	molecular_function	GO:0003674	ORF|Verified
YBL021C	HAP3	S000000117	F	DNA binding	GO:0003677	ORF|Verified
YBL021C	HAP3	S000000117	F	nucleic acid binding transcription factor activity	GO:0001071	ORF|Verified
YBL022C	PIM1	S000000118	F	ATPase activity	GO:0016887	ORF|Verified
YBL022C	PIM1	S000000118	F	hydrolase activity	GO:0016787	ORF|Verified
YBL022C	PIM1	S000000118	F	peptidase activity	GO:0008233	ORF|Verified
YBL023C	MCM2	S000000119	F	ATPase activity	GO:0016887	ORF|Verified
YBL023C	MCM2	S000000119	F	DNA binding	GO:0003677	ORF|Verified
YBL023C	MCM2	S000000119	F	chromatin binding	GO:0003682	ORF|Verified
YBL023C	MCM2	S000000119	F	helicase activity	GO:0004386	ORF|Verified
YBL023C	MCM2	S000000119	F	hydrolase activity	GO:0016787	ORF|Verified
YBL024W	NCL1	S000000120	F	RNA binding	GO:0003723	ORF|Verified
YBL024W	NCL1	S000000120	F	methyltransferase activity	GO:0008168	ORF|Verified
YBL024W	NCL1	S000000120	F	transferase activity	GO:0016740	ORF|Verified
YBL025W	RRN10	S000000121	F	DNA binding	GO:0003677	ORF|Verified
YBL025W	RRN10	S000000121	F	nucleic acid binding transcription factor activity	GO:0001071	ORF|Verified
YBL026W	LSM2	S000000122	F	RNA binding	GO:0003723	ORF|Verified
YBL027W	RPL19B	S000000123	F	structural constituent of ribosome	GO:0003735	ORF|Verified
YBL027W	RPL19B	S000000123	F	structural molecule activity	GO:0005198	ORF|Verified
YBL028C		S000000124	F	molecular_function	GO:0003674	ORF|Verified
YBL029C-A		S000007591	F	molecular_function	GO:0003674	ORF|Verified
YBL029W		S000000125	F	molecular_function	GO:0003674	ORF|Uncharacterized
YBL030C	PET9	S000000126	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YBL031W	SHE1	S000000127	F	cytoskeletal protein binding	GO:0008092	ORF|Verified
YBL032W	HEK2	S000000128	F	RNA binding	GO:0003723	ORF|Verified
YBL032W	HEK2	S000000128	F	mRNA binding	GO:0003729	ORF|Verified
YBL033C	RIB1	S000000129	F	hydrolase activity	GO:0016787	ORF|Verified
YBL034C	STU1	S000000130	F	structural molecule activity	GO:0005198	ORF|Verified
YBL035C	POL12	S000000131	F	nucleotidyltransferase activity	GO:0016779	ORF|Verified
YBL035C	POL12	S000000131	F	transferase activity	GO:0016740	ORF|Verified
YBL036C		S000000132	F	ion binding	GO:0043167	ORF|Verified
YBL037W	APL3	S000000133	F	molecular_function	GO:0003674	ORF|Verified
YBL038W	MRPL16	S000000134	F	structural constituent of ribosome	GO:0003735	ORF|Verified
YBL038W	MRPL16	S000000134	F	structural molecule activity	GO:0005198	ORF|Verified
YBL039C	URA7	S000000135	F	ligase activity	GO:0016874	ORF|Verified
YBL039C-A		S000028814	F	molecular_function	GO:0003674	ORF|Dubious
YBL039W-B		S000028517	F	molecular_function	GO:0003674	ORF|Uncharacterized
YBL040C	ERD2	S000000136	F	other		ORF|Verified
YBL041W	PRE7	S000000137	F	molecular_function	GO:0003674	ORF|Verified
YBL042C	FUI1	S000000138	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YBL043W	ECM13	S000000139	F	molecular_function	GO:0003674	ORF|Verified
YBL044W		S000000140	F	molecular_function	GO:0003674	ORF|Uncharacterized
YBL045C	COR1	S000000141	F	oxidoreductase activity	GO:0016491	ORF|Verified
YBL045C	COR1	S000000141	F	transmembrane transporter activity	GO:0022857	ORF|Verified
YBL046W	PSY4	S000000142	F	enzyme regulator activity	GO:0030234	ORF|Verified
YBL047C	EDE1	S000000143	F	ubiquitin-like protein binding	GO:0032182	ORF|Verified
YBL048W	RRT1	S000000144	F	molecular_function	GO:0003674	ORF|Dubious
YBL049W	MOH1	S000000145	F	molecular_function	GO:0003674	ORF|Verified
YBL050W	SEC17	S000000146	F	enzyme regulator activity	GO:0030234	ORF|Verified
YBL051C	PIN4	S000000147	F	RNA binding	GO:0003723	ORF|Verified
YBL051C	PIN4	S000000147	F	mRNA binding	GO:0003729	ORF|Verified
YBL052C	SAS3	S000000148	F	transferase activity	GO:0016740	ORF|Verified
YBL053W		S000000149	F	molecular_function	GO:0003674	ORF|Dubious
YBL054W	TOD6	S000000150	F	DNA binding	GO:0003677	ORF|Verified
YBL055C		S000000151	F	hydrolase activity	GO:0016787	ORF|Verified
YBL055C		S000000151	F	nuclease activity	GO:0004518	ORF|Verified
