"ORF","ontology","term"
"Q0065","CC","mitochondrial respiratory chain complex IV"
"Q0065","BP","mitochondrial electron transport, cytochrome c to oxygen"
"Q0065","BP","intron homing"
"Q0065","BP","mRNA processing"
"Q0065","BP","RNA splicing"
"Q0065","BP","aerobic respiration"
"Q0065","BP","electron transport coupled proton transport"
"Q0065","MF","hydrolase activity"
"Q0065","MF","heme binding"
"Q0065","BP","respiratory electron transport chain"
"Q0065","BP","nucleic acid phosphodiester bond hydrolysis"
"Q0070","MF","cytochrome-c oxidase activity"
"Q0070","MF","nuclease activity"
"Q0070","MF","endonuclease activity"
"Q0070","CC","mitochondrion"
"Q0070","CC","mitochondrial respiratory chain complex IV"
"Q0070","BP","mitochondrial electron transport, cytochrome c to oxygen"
"Q0070","BP","intron homing"
"Q0070","BP","movement of group I intron"
"Q0070","BP","mRNA processing"
"Q0070","BP","RNA splicing"
"Q0070","BP","aerobic respiration"
"Q0070","BP","electron transport coupled proton transport"
"Q0070","CC","membrane"
"Q0070","MF","hydrolase activity"
"Q0070","MF","heme binding"
"Q0070","BP","respiratory electron transport chain"
"Q0070","BP","nucleic acid phosphodiester bond hydrolysis"
"Q0075","MF","molecular_function"
"Q0075","MF","nuclease activity"
"Q0075","MF","endonuclease activity"
"Q0075","CC","mitochondrion"
"Q0075","BP","intron homing"
"Q0075","BP","biological_process"
"Q0075","MF","hydrolase activity"
"Q0075","BP","nucleic acid phosphodiester bond hydrolysis"
"Q0080","CC","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"Q0080","CC","mitochondrion"
"Q0080","BP","ATP biosynthetic process"
"Q0080","BP","monoatomic ion transport"
"Q0080","MF","proton transmembrane transporter activity"
"Q0080","BP","proton motive force-driven ATP synthesis"
"Q0080","CC","membrane"
"Q0080","CC","mitochondrial membrane"
"Q0080","CC","proton-transporting ATP synthase complex, coupling factor F(o)"
"Q0080","MF","proton-transporting ATP synthase activity, rotational mechanism"
"Q0085","CC","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"Q0085","CC","mitochondrion"
"Q0085","CC","mitochondrial inner membrane"
"Q0085","BP","ATP biosynthetic process"
"Q0085","BP","monoatomic ion transport"
"Q0085","MF","proton transmembrane transporter activity"
"Q0085","BP","proton motive force-driven ATP synthesis"
"Q0085","CC","membrane"
"Q0085","CC","proton-transporting ATP synthase complex, coupling factor F(o)"
"Q0085","MF","proton-transporting ATP synthase activity, rotational mechanism"
"Q0105","CC","mitochondrion"
"Q0105","CC","mitochondrial inner membrane"
"Q0105","CC","mitochondrial respiratory chain complex III"
"Q0105","BP","mitochondrial electron transport, ubiquinol to cytochrome c"
"Q0105","MF","ubiquinol-cytochrome-c reductase activity"
"Q0105","MF","electron transfer activity"
"Q0105","BP","aerobic respiration"
"Q0105","CC","membrane"
"Q0105","MF","oxidoreductase activity"
"Q0105","BP","respiratory electron transport chain"
"Q0105","CC","respiratory chain complex III"
"Q0105","MF","metal ion binding"
"Q0105","CC","respirasome"
"Q0110","MF","nuclease activity"
"Q0110","MF","endonuclease activity"
"Q0110","CC","mitochondrion"
"Q0110","CC","mitochondrial inner membrane"
"Q0110","BP","mRNA processing"
"Q0110","BP","RNA splicing"
"Q0110","MF","electron transfer activity"
"Q0110","CC","membrane"
"Q0110","MF","oxidoreductase activity"
"Q0110","BP","respiratory electron transport chain"
"Q0110","BP","nucleic acid phosphodiester bond hydrolysis"
"Q0115","BP","Group I intron splicing"
"Q0115","MF","RNA binding"
"Q0115","MF","endonuclease activity"
"Q0115","CC","mitochondrion"
"Q0115","CC","mitochondrial inner membrane"
"Q0115","BP","mRNA processing"
"Q0115","BP","RNA splicing"
"Q0115","MF","electron transfer activity"
"Q0115","CC","membrane"
"Q0115","MF","oxidoreductase activity"
"Q0115","BP","respiratory electron transport chain"
"Q0115","BP","nucleic acid phosphodiester bond hydrolysis"
"Q0115","BP","mitochondrial mRNA processing"
"Q0120","BP","Group I intron splicing"
"Q0120","MF","RNA binding"
"Q0120","MF","endonuclease activity"
"Q0120","CC","mitochondrion"
"Q0120","BP","mRNA processing"
"Q0120","BP","RNA splicing"
"Q0120","MF","hydrolase activity"
"Q0120","BP","nucleic acid phosphodiester bond hydrolysis"
"Q0120","BP","mitochondrial mRNA processing"
"Q0130","CC","mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
"Q0130","CC","mitochondrion"
"Q0130","BP","monoatomic ion transport"
"Q0130","MF","lipid binding"
"Q0130","MF","proton transmembrane transporter activity"
"Q0130","BP","proton motive force-driven ATP synthesis"
"Q0130","CC","membrane"
"Q0130","MF","ATP hydrolysis activity"
"Q0130","CC","mitochondrial membrane"
"Q0130","CC","proton-transporting two-sector ATPase complex, proton-transporting domain"
"Q0130","CC","proton-transporting ATP synthase complex, coupling factor F(o)"
"Q0130","MF","proton-transporting ATP synthase activity, rotational mechanism"
"Q0130","BP","proton transmembrane transport"
"Q0140","MF","structural constituent of ribosome"
"Q0140","CC","mitochondrion"
"Q0140","CC","mitochondrial ribosome"
"Q0140","CC","mitochondrial small ribosomal subunit"
"Q0140","CC","ribosome"
"Q0140","BP","translation"
"Q0140","BP","mitochondrial translation"
"Q0158","MF","structural constituent of ribosome"
"Q0158","CC","mitochondrial large ribosomal subunit"
"Q0158","BP","mitochondrial translation"
"Q0158","BP","ribosome assembly"
"Q0160","MF","nuclease activity"
"Q0160","MF","endonuclease activity"
"Q0160","CC","mitochondrion"
"Q0160","BP","intron homing"
"Q0160","BP","mRNA processing"
"Q0160","BP","RNA splicing"
"Q0160","MF","hydrolase activity"
"Q0160","BP","nucleic acid phosphodiester bond hydrolysis"
"Q0250","MF","cytochrome-c oxidase activity"
"Q0250","MF","copper ion binding"
"Q0250","CC","mitochondrion"
"Q0250","CC","mitochondrial inner membrane"
"Q0250","CC","mitochondrial respiratory chain complex IV"
"Q0250","BP","mitochondrial electron transport, cytochrome c to oxygen"
"Q0250","BP","aerobic respiration"
"Q0250","CC","membrane"
"Q0250","MF","oxidoreductase activity"
"Q0250","BP","electron transport chain"
"Q0250","BP","ATP synthesis coupled electron transport"
"Q0250","MF","metal ion binding"
"Q0250","CC","respirasome"
"Q0250","BP","proton transmembrane transport"
"Q0255","MF","molecular_function"
"Q0255","MF","endonuclease activity"
"Q0255","CC","mitochondrion"
"Q0255","BP","biological_process"
"Q0255","BP","nucleic acid phosphodiester bond hydrolysis"
"Q0275","MF","cytochrome-c oxidase activity"
"Q0275","CC","mitochondrion"
"Q0275","CC","mitochondrial inner membrane"
"Q0275","CC","mitochondrial respiratory chain complex IV"
"Q0275","BP","mitochondrial electron transport, cytochrome c to oxygen"
"Q0275","MF","electron transfer activity"
"Q0275","BP","aerobic respiration"
"Q0275","MF","oxidoreduction-driven active transmembrane transporter activity"
"Q0275","CC","membrane"
"Q0275","BP","aerobic electron transport chain"
"Q0275","BP","respiratory electron transport chain"
"Q0275","BP","transmembrane transport"
"Q0275","BP","proton transmembrane transport"
"Q0285","BP","tRNA 5'-leader removal"
"Q0285","MF","ribonuclease P activity"
"Q0285","CC","mitochondrion"
"Q0285","BP","tRNA processing"
"Q0285","CC","mitochondrial ribonuclease P complex"
"Q0285","BP","RNA phosphodiester bond hydrolysis"
"Q0285","BP","RNA phosphodiester bond hydrolysis, endonucleolytic"
"R0010W","MF","DNA binding"
"R0010W","MF","double-stranded DNA binding"
"R0010W","MF","single-stranded DNA binding"
"R0010W","CC","cellular_component"
"R0010W","BP","DNA recombination"
"R0010W","MF","DNA binding, bending"
"R0010W","MF","site-specific recombinase activity"
"R0010W","BP","DNA integration"
"R0010W","BP","plasmid recombination"
"R0020C","MF","protein binding"
"R0020C","CC","nucleus"
"R0020C","BP","plasmid partitioning"
"R0020C","BP","2-micrometer plasmid partitioning"
"R0030W","MF","protein binding"
"R0030W","CC","nucleus"
"R0030W","BP","plasmid maintenance"
"R0030W","BP","plasmid partitioning"
"R0040C","MF","protein binding"
"R0040C","CC","nucleus"
"R0040C","BP","plasmid partitioning"
"R0040C","BP","2-micrometer plasmid partitioning"
"R0040C","BP","protein stabilization"
"RDN18-1","BP","formation of translation preinitiation complex"
"RDN18-1","BP","cytoplasmic translation"
"RDN18-1","BP","translation reinitiation"
"RDN18-1","MF","structural constituent of ribosome"
"RDN18-1","CC","ribosome"
"RDN18-1","BP","translational elongation"
"RDN18-1","CC","cytosolic small ribosomal subunit"
"RDN18-1","MF","translation elongation factor binding"
"RDN18-2","BP","formation of translation preinitiation complex"
"RDN18-2","BP","cytoplasmic translation"
"RDN18-2","BP","translation reinitiation"
"RDN18-2","MF","structural constituent of ribosome"
"RDN18-2","CC","ribosome"
"RDN18-2","BP","translational elongation"
"RDN18-2","CC","cytosolic small ribosomal subunit"
"RDN18-2","MF","translation elongation factor binding"
"RDN25-1","MF","structural constituent of ribosome"
"RDN25-1","CC","ribosome"
"RDN25-1","BP","translational initiation"
"RDN25-1","BP","translational elongation"
"RDN25-1","BP","regulation of translational fidelity"
"RDN25-1","BP","protein folding"
"RDN25-1","CC","cytosolic large ribosomal subunit"
"RDN25-2","MF","structural constituent of ribosome"
"RDN25-2","CC","ribosome"
"RDN25-2","BP","translational initiation"
"RDN25-2","BP","translational elongation"
"RDN25-2","BP","regulation of translational fidelity"
"RDN25-2","BP","protein folding"
"RDN25-2","CC","cytosolic large ribosomal subunit"
"RDN5-1","BP","cytoplasmic translation"
"RDN5-1","MF","structural constituent of ribosome"
"RDN5-1","CC","ribosome"
"RDN5-1","CC","cytosolic large ribosomal subunit"
"RDN5-2","BP","cytoplasmic translation"
"RDN5-2","MF","structural constituent of ribosome"
"RDN5-2","CC","ribosome"
"RDN5-2","CC","cytosolic large ribosomal subunit"
"RDN5-3","BP","cytoplasmic translation"
"RDN5-3","MF","structural constituent of ribosome"
"RDN5-3","CC","ribosome"
"RDN5-3","CC","cytosolic large ribosomal subunit"
"RDN5-4","BP","cytoplasmic translation"
"RDN5-4","MF","structural constituent of ribosome"
"RDN5-4","CC","ribosome"
"RDN5-4","CC","cytosolic large ribosomal subunit"
"RDN5-5","BP","cytoplasmic translation"
"RDN5-5","MF","structural constituent of ribosome"
"RDN5-5","CC","ribosome"
"RDN5-5","CC","cytosolic large ribosomal subunit"
"RDN5-6","BP","cytoplasmic translation"
"RDN5-6","MF","structural constituent of ribosome"
"RDN5-6","CC","ribosome"
"RDN5-6","CC","cytosolic large ribosomal subunit"
"RDN58-1","BP","cytoplasmic translation"
"RDN58-1","MF","structural constituent of ribosome"
"RDN58-1","CC","ribosome"
"RDN58-1","CC","cytosolic large ribosomal subunit"
"RDN58-2","BP","cytoplasmic translation"
"RDN58-2","MF","structural constituent of ribosome"
"RDN58-2","CC","ribosome"
"RDN58-2","CC","cytosolic large ribosomal subunit"
"RNA170","MF","molecular_function"
"RNA170","CC","cellular_component"
"RNA170","BP","biological_process"
"RPR1","MF","ribonuclease P activity"
"RPR1","CC","nucleolar ribonuclease P complex"
"RPR1","BP","tRNA processing"
"RPR1","CC","ribonuclease P complex"
"RPR1","BP","intronic box C/D RNA processing"
"RPR1","BP","RNA phosphodiester bond hydrolysis"
"RPR1","BP","RNA phosphodiester bond hydrolysis, endonucleolytic"
"RUF20","MF","molecular_function"
"RUF20","CC","cellular_component"
"RUF20","BP","biological_process"
"RUF21","MF","molecular_function"
"RUF21","CC","cellular_component"
"RUF21","BP","biological_process"
"RUF22","MF","molecular_function"
"RUF22","CC","cellular_component"
"RUF22","BP","biological_process"
"RUF23","MF","molecular_function"
"RUF23","CC","cellular_component"
"RUF23","BP","biological_process"
"RUF5-1","MF","molecular_function"
"RUF5-1","CC","cellular_component"
"RUF5-1","BP","biological_process"
"RUF5-2","MF","molecular_function"
"RUF5-2","CC","cellular_component"
"RUF5-2","BP","biological_process"
"SCR1","MF","molecular_function"
"SCR1","CC","cytoplasm"
"SCR1","CC","signal recognition particle, endoplasmic reticulum targeting"
"SCR1","BP","SRP-dependent cotranslational protein targeting to membrane"
"SCR1","BP","SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition"
"SCR1","BP","protein targeting to ER"
"SRG1","MF","molecular_function"
"SRG1","CC","nucleus"
"SRG1","BP","negative regulation of DNA-templated transcription"
"TLC1","MF","template for synthesis of G-rich strand of telomere DNA activity"
"TLC1","CC","telomerase catalytic core complex"
"TLC1","BP","telomere maintenance via recombination"
"TLC1","MF","telomerase activity"
"TLC1","CC","nucleus"
"TLC1","CC","telomerase holoenzyme complex"
"TLC1","CC","cytoplasm"
"TLC1","BP","telomere maintenance via telomerase"
"YAL001C","CC","transcription factor TFIIIC complex"
"YAL001C","MF","RNA polymerase III type 1 promoter sequence-specific DNA binding"
"YAL001C","MF","RNA polymerase III type 2 promoter sequence-specific DNA binding"
"YAL001C","MF","DNA binding"
"YAL001C","CC","nucleus"
"YAL001C","CC","mitochondrion"
"YAL001C","BP","transcription by RNA polymerase III"
"YAL001C","BP","transcription initiation at RNA polymerase III promoter"
"YAL001C","MF","DNA binding, bending"
"YAL001C","BP","5S class rRNA transcription by RNA polymerase III"
"YAL001C","BP","protein localization to chromatin"
"YAL002W","CC","late endosome"
"YAL002W","CC","Golgi apparatus"
"YAL002W","CC","Golgi stack"
"YAL002W","BP","protein targeting to vacuole"
"YAL002W","BP","intracellular protein transport"
"YAL002W","BP","protein transport"
"YAL002W","CC","membrane"
"YAL002W","BP","vesicle-mediated transport"
"YAL002W","CC","HOPS complex"
"YAL002W","BP","late endosome to vacuole transport via multivesicular body sorting pathway"
"YAL002W","CC","CORVET complex"
"YAL002W","BP","endosomal vesicle fusion"
"YAL002W","MF","protein-membrane adaptor activity"
"YAL002W","MF","metal ion binding"
"YAL002W","MF","GTPase binding"
"YAL003W","MF","translation elongation factor activity"
"YAL003W","MF","guanyl-nucleotide exchange factor activity"
"YAL003W","CC","cytosol"
"YAL003W","CC","eukaryotic translation elongation factor 1 complex"
"YAL003W","BP","translation"
"YAL003W","BP","translational elongation"
"YAL003W","BP","regulation of translational termination"
"YAL003W","BP","negative regulation of actin filament bundle assembly"
"YAL003W","BP","maintenance of translational fidelity"
"YAL005C","MF","tRNA binding"
"YAL005C","MF","nucleotide binding"
"YAL005C","BP","protein polyubiquitination"
"YAL005C","CC","fungal-type vacuole membrane"
"YAL005C","BP","cytoplasmic translation"
"YAL005C","MF","ATP binding"
"YAL005C","CC","extracellular region"
"YAL005C","CC","cell wall"
"YAL005C","CC","nucleus"
"YAL005C","CC","cytoplasm"
"YAL005C","CC","cytosol"
"YAL005C","CC","polysome"
"YAL005C","CC","plasma membrane"
"YAL005C","BP","protein folding"
"YAL005C","BP","protein import into nucleus"
"YAL005C","BP","SRP-dependent cotranslational protein targeting to membrane, translocation"
"YAL005C","BP","protein targeting to mitochondrion"
"YAL005C","BP","response to unfolded protein"
"YAL005C","CC","fungal-type cell wall"
"YAL005C","BP","vesicle-mediated transport"
"YAL005C","MF","ATP hydrolysis activity"
"YAL005C","MF","heat shock protein binding"
"YAL005C","BP","cellular response to unfolded protein"
"YAL005C","BP","stress granule disassembly"
"YAL005C","BP","protein refolding"
"YAL005C","BP","proteasome-mediated ubiquitin-dependent protein catabolic process"
"YAL005C","MF","protein folding chaperone"
"YAL005C","MF","unfolded protein binding"
"YAL005C","BP","chaperone cofactor-dependent protein refolding"
"YAL005C","MF","misfolded protein binding"
"YAL005C","BP","cellular response to osmotic stress"
"YAL005C","BP","clathrin coat disassembly"
"YAL005C","BP","mitochondria-associated ubiquitin-dependent protein catabolic process"
"YAL007C","MF","molecular_function"
"YAL007C","CC","endoplasmic reticulum"
"YAL007C","CC","endoplasmic reticulum membrane"
"YAL007C","CC","endoplasmic reticulum-Golgi intermediate compartment"
"YAL007C","CC","Golgi apparatus"
"YAL007C","BP","protein retention in ER lumen"
"YAL007C","BP","intracellular protein transport"
"YAL007C","BP","endoplasmic reticulum to Golgi vesicle-mediated transport"
"YAL007C","BP","Golgi organization"
"YAL007C","BP","protein transport"
"YAL007C","CC","membrane"
"YAL007C","BP","vesicle-mediated transport"
"YAL007C","CC","COPII-coated ER to Golgi transport vesicle"
"YAL008W","BP","autophagy of mitochondrion"
"YAL008W","MF","molecular_function"
"YAL008W","CC","mitochondrion"
"YAL008W","CC","mitochondrial outer membrane"
"YAL008W","BP","mitochondrion organization"
"YAL008W","CC","membrane"
"YAL008W","BP","phospholipid homeostasis"
"YAL009W","MF","phosphoprotein phosphatase activity"
"YAL009W","CC","nucleus"
"YAL009W","CC","endoplasmic reticulum"
"YAL009W","CC","endoplasmic reticulum membrane"
"YAL009W","BP","protein dephosphorylation"
"YAL009W","BP","lipid metabolic process"
"YAL009W","BP","nuclear envelope organization"
"YAL009W","CC","membrane"
"YAL009W","MF","protein phosphatase regulator activity"
"YAL009W","BP","sporulation resulting in formation of a cellular spore"
"YAL009W","CC","nuclear membrane"
"YAL009W","BP","regulation of phosphoprotein phosphatase activity"
"YAL009W","BP","reticulophagy"
"YAL009W","BP","regulation of phospholipid biosynthetic process"
"YAL009W","BP","negative regulation of phospholipid biosynthetic process"
"YAL009W","CC","Nem1-Spo7 phosphatase complex"
"YAL009W","BP","positive regulation of phosphatidate phosphatase activity"
"YAL010C","BP","mitochondrial genome maintenance"
"YAL010C","CC","SAM complex"
"YAL010C","MF","molecular_function"
"YAL010C","CC","mitochondrion"
"YAL010C","CC","mitochondrial outer membrane"
"YAL010C","BP","mitochondrion organization"
"YAL010C","BP","phospholipid transport"
"YAL010C","CC","membrane"
"YAL010C","CC","ERMES complex"
"YAL010C","BP","protein insertion into mitochondrial outer membrane"
"YAL010C","BP","establishment of mitochondrion localization"
"YAL010C","BP","mitochondrial outer membrane translocase complex assembly"
"YAL010C","BP","mitochondrion-endoplasmic reticulum membrane tethering"
"YAL011W","CC","Swr1 complex"
"YAL011W","MF","molecular_function"
"YAL011W","CC","nucleus"
"YAL011W","CC","mitochondrion"
"YAL011W","BP","chromatin organization"
"YAL011W","BP","chromatin remodeling"
"YAL011W","BP","endoplasmic reticulum organization"
"YAL012W","MF","catalytic activity"
"YAL012W","MF","cystathionine gamma-lyase activity"
"YAL012W","CC","nucleus"
"YAL012W","CC","cytoplasm"
"YAL012W","BP","amino acid biosynthetic process"
"YAL012W","MF","lyase activity"
"YAL012W","MF","carbon-sulfur lyase activity"
"YAL012W","BP","cysteine biosynthetic process via cystathionine"
"YAL012W","BP","cysteine biosynthetic process"
"YAL012W","BP","transsulfuration"
"YAL012W","MF","pyridoxal phosphate binding"
"YAL012W","MF","L-cystine L-cysteine-lyase (deaminating)"
"YAL012W","MF","cysteine-S-conjugate beta-lyase activity"
"YAL012W","MF","L-cysteine desulfhydrase activity"
"YAL012W","BP","positive regulation of hydrogen sulfide biosynthetic process"
"YAL013W","BP","negative regulation of transcription by RNA polymerase II"
"YAL013W","MF","molecular_function"
"YAL013W","MF","histone deacetylase activity"
"YAL013W","CC","nucleus"
"YAL013W","CC","cytoplasm"
"YAL013W","BP","chromatin organization"
"YAL013W","BP","regulation of transcription by RNA polymerase II"
"YAL013W","BP","histone deacetylation"
"YAL013W","BP","regulation of DNA-templated DNA replication initiation"
"YAL013W","CC","Rpd3L complex"
"YAL013W","MF","histone deacetylase binding"
"YAL013W","BP","positive regulation of transcription by RNA polymerase II"
"YAL013W","BP","negative regulation of silent mating-type cassette heterochromatin formation"
"YAL013W","BP","negative regulation of rDNA heterochromatin formation"
"YAL013W","BP","positive regulation of transcription from RNA polymerase II promoter in response to heat stress"
"YAL013W","CC","Rpd3L-Expanded complex"
"YAL013W","CC","Sin3-type complex"
"YAL014C","MF","SNARE binding"
"YAL014C","MF","SNAP receptor activity"
"YAL014C","CC","endosome"
"YAL014C","CC","plasma membrane"
"YAL014C","BP","intracellular protein transport"
"YAL014C","BP","exocytosis"
"YAL014C","BP","Golgi to vacuole transport"
"YAL014C","BP","vesicle fusion"
"YAL014C","CC","endosome membrane"
"YAL014C","CC","endomembrane system"
"YAL014C","BP","protein transport"
"YAL014C","CC","membrane"
"YAL014C","CC","SNARE complex"
"YAL014C","BP","vesicle docking"
"YAL015C","MF","oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity"
"YAL015C","MF","DNA binding"
"YAL015C","MF","catalytic activity"
"YAL015C","MF","DNA-(apurinic or apyrimidinic site) endonuclease activity"
"YAL015C","CC","nucleus"
"YAL015C","CC","mitochondrion"
"YAL015C","BP","DNA repair"
"YAL015C","BP","base-excision repair"
"YAL015C","BP","base-excision repair, AP site formation"
"YAL015C","BP","cellular response to DNA damage stimulus"
"YAL015C","BP","metabolic process"
"YAL015C","MF","oxidized purine nucleobase lesion DNA N-glycosylase activity"
"YAL015C","MF","hydrolase activity"
"YAL015C","MF","hydrolase activity, acting on glycosyl bonds"
"YAL015C","MF","lyase activity"
"YAL015C","MF","DNA N-glycosylase activity"
"YAL015C","BP","cellular response to oxidative stress"
"YAL015C","BP","positive regulation of mitochondrial DNA replication"
"YAL015C","MF","class I DNA-(apurinic or apyrimidinic site) endonuclease activity"
"YAL016W","CC","protein phosphatase type 2A complex"
"YAL016W","MF","protein serine/threonine phosphatase activity"
"YAL016W","CC","nucleus"
"YAL016W","CC","cytoplasm"
"YAL016W","CC","spindle pole body"
"YAL016W","CC","cellular bud tip"
"YAL016W","CC","cellular bud neck"
"YAL016W","BP","regulation of translation"
"YAL016W","BP","protein dephosphorylation"
"YAL016W","BP","mitotic spindle assembly checkpoint signaling"
"YAL016W","CC","protein serine/threonine phosphatase complex"
"YAL016W","MF","protein phosphatase regulator activity"
"YAL016W","CC","mating projection tip"
"YAL016W","BP","regulation of phosphoprotein phosphatase activity"
"YAL017W","MF","nucleotide binding"
"YAL017W","MF","protein kinase activity"
"YAL017W","MF","protein serine/threonine kinase activity"
"YAL017W","MF","ATP binding"
"YAL017W","CC","nucleus"
"YAL017W","CC","cytoplasm"
"YAL017W","CC","cytosol"
"YAL017W","BP","regulation of translation"
"YAL017W","BP","protein phosphorylation"
"YAL017W","MF","kinase activity"
"YAL017W","BP","phosphorylation"
"YAL017W","MF","transferase activity"
"YAL017W","BP","intracellular signal transduction"
"YAL017W","BP","negative regulation of glycogen biosynthetic process"
"YAL017W","BP","regulation of (1->6)-beta-D-glucan biosynthetic process"
"YAL018C","MF","molecular_function"
"YAL018C","CC","ascospore wall"
"YAL018C","CC","prospore membrane"
"YAL018C","CC","lipid droplet"
"YAL018C","CC","membrane"
"YAL018C","BP","sporulation resulting in formation of a cellular spore"
"YAL018C","BP","ascospore wall assembly"
"YAL018C","CC","spore wall"
"YAL019W","BP","negative regulation of transcription by RNA polymerase II"
"YAL019W","MF","nucleotide binding"
"YAL019W","BP","rDNA heterochromatin formation"
"YAL019W","BP","DNA double-strand break processing"
"YAL019W","CC","chromosome, centromeric region"
"YAL019W","CC","chromosome, telomeric region"
"YAL019W","MF","DNA binding"
"YAL019W","MF","DNA helicase activity"
"YAL019W","MF","chromatin binding"
"YAL019W","MF","helicase activity"
"YAL019W","MF","ATP binding"
"YAL019W","CC","nucleus"
"YAL019W","CC","chromosome"
"YAL019W","CC","mitochondrion"
"YAL019W","BP","DNA repair"
"YAL019W","BP","chromatin organization"
"YAL019W","BP","chromatin remodeling"
"YAL019W","BP","cellular response to DNA damage stimulus"
"YAL019W","MF","ATP-dependent activity, acting on DNA"
"YAL019W","MF","hydrolase activity"
"YAL019W","BP","silent mating-type cassette heterochromatin formation"
"YAL019W","BP","heterochromatin formation"
"YAL019W","CC","mating-type region heterochromatin"
"YAL019W","BP","DNA duplex unwinding"
"YAL019W","BP","positive regulation of RNA splicing"
"YAL020C","BP","tRNA wobble uridine modification"
"YAL020C","MF","molecular_function"
"YAL020C","CC","cytoplasm"
"YAL020C","BP","tRNA processing"
"YAL021C","BP","DNA replication checkpoint signaling"
"YAL021C","MF","3'-5'-RNA exonuclease activity"
"YAL021C","BP","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
"YAL021C","BP","nuclear-transcribed mRNA poly(A) tail shortening"
"YAL021C","CC","P-body"
"YAL021C","MF","RNA binding"
"YAL021C","MF","nuclease activity"
"YAL021C","MF","exonuclease activity"
"YAL021C","MF","poly(A)-specific ribonuclease activity"
"YAL021C","CC","nucleus"
"YAL021C","CC","cytoplasm"
"YAL021C","BP","DNA replication"
"YAL021C","BP","regulation of transcription by RNA polymerase II"
"YAL021C","BP","transcription elongation by RNA polymerase II"
"YAL021C","BP","traversing start control point of mitotic cell cycle"
"YAL021C","CC","Cdc73/Paf1 complex"
"YAL021C","MF","hydrolase activity"
