"ORF","term"
"YOL086C","Zn"
"YDR267C","Ca"
"YGL040C","Hg"
"YKR002W","Mg"
"YDL042C","Zn"
"YIL106W","Zn"
"YKR036C","Au"
"YIL065C","Au"
"YML106W","Mg"
"YGL040C","Pb"
"YMR027W","Mg"
"YJL115W","Zn"
"YGR192C","Na"
"YKL042W","Co"
"YPR173C","Mg"
"YLR016C","Mg"
"YOR274W","Mg"
"YOR274W","Zn"
"YHR201C","Mn"
"YHR201C","Co"
"YHR201C","Mg"
"YLR245C","Zn"
"YNL238W","Ca"
"YNL238W","K"
"YPL096W","Zn"
"YJR010W","Co"
"YOL064C","Zn"
"YOL064C","Na"
"YOL064C","Ca"
"Q0160","Ca"
"YKR066C","Co"
"YNL238W","Na"
"YDR173C","Ca"
"YDR173C","Mn"
"YEL009C","K"
"YJL153C","Mn"
"YML130C","Cd"
"YER049W","Fe"
"YFL008W","Mg"
"YNL088W","Zn"
"YNL036W","Zn"
"YDL066W","Ca"
"YDL190C","K"
"YIL008W","Mg"
"YIL053W","Hg"
"YIL053W","Ca"
"YLR128W","Pt"
"YGL122C","Zn"
"YJL081C","Ca"
"YMR099C","Na"
"YMR099C","Ba"
"YJL034W","Mg"
"YKL045W","Fe"
"YKL045W","Zn"
"YHR079C","Sr"
"YPR173C","Cd"
"YDR483W","Mn"
"YHR008C","Na"
"YHR008C","Mn"
"YPR181C","Zn"
"YPL218W","Mg"
"YJL101C","Mg"
"YLR043C","Zn"
"YBR252W","Na"
"YML001W","Mg"
"YKL057C","Hg"
"YIL147C","Mg"
"YIL147C","Na"
"YAR015W","Mg"
"YLL002W","Hg"
"YOL031C","Mg"
"YIL113W","Mg"
"YDR045C","Zn"
"YMR223W","Zn"
"YPL047W","Zn"
"YGL066W","Zn"
"YDR419W","Mg"
"YNR046W","Zn"
"YNL102W","Zn"
"YGR180C","Hg"
"YHR117W","Mg"
"YHR117W","Na"
"YOR176W","Co"
"YOR359W","Ca"
"YMR116C","Mn"
"YNL290W","Mg"
"YJR068W","Mg"
"YOR217W","Mg"
"YOL094C","Mg"
"YCL008C","Zn"
"YGR163W","Mg"
"YML121W","Mg"
"YLR011W","Ca"
"YLR417W","Zn"
"YJL012C","Mn"
"YJL012C","Na"
"YPL069C","Mg"
"YHR008C","Fe"
"YDL185W","Ca"
"YCL010C","Na"
"YDL207W","Mg"
"YOL049W","Mg"
"YHR171W","Zn"
"YMR028W","Zn"
"YBL007C","Na"
"YBL007C","Pt"
"YGL210W","Mg"
"YGR185C","Mg"
"YOR151C","Mg"
"YOR257W","Ca"
"YBR011C","Co"
"YGL043W","Mg"
"YOR064C","Zn"
"YFL039C","Mg"
"YDL100C","Zn"
"YDL100C","Mg"
"YOL027C","K"
"YDL229W","Mg"
"YPR094W","Zn"
"YML065W","Mn"
"YDR194C","Mg"
"YEL039C","Fe"
"YOR151C","Mn"
"YMR168C","As"
"YMR087W","Na"
"YNL310C","Zn"
"YOR133W","Mg"
"YLL009C","Cu"
"YOL021C","Na"
"YNR052C","Ca"
"YPL231W","Mg"
"YLR451W","Zn"
"YGR063C","Zn"
"YDL100C","Al"
"YOR164C","Hg"
"YCL008C","Mg"
"YOR250C","Mg"
"YER018C","Na"
"YOR026W","Ca"
"YEL038W","Mg"
"YFR007W","Hg"
"YNL082W","Mg"
"YNL168C","Ca"
"YNL064C","Zn"
"YGL014W","Na"
"YGR184C","Zn"
"YGR287C","Ca"
"YPR165W","Mg"
"YKL154W","Mg"
"YOR244W","As"
"YJL029C","Ba"
"YGL224C","Na"
"YDL100C","Na"
"YPR032W","Na"
"YPR032W","Zn"
"YDL175C","Zn"
"YDL209C","Zn"
"YGL187C","Zn"
"YDR064W","Os"
"YDR450W","Os"
"YLR388W","Os"
"YMR116C","Os"
"YOL040C","Os"
"YKL156W","Zn"
"YLR388W","Zn"
"YGL189C","Zn"
"YLR167W","Zn"
"YPL106C","Be"
"YDL137W","Mg"
"YLR185W","Zn"
"YPR043W","Zn"
"YIL148W","Zn"
"YBR249C","Mn"
"YEL019C","Zn"
"YKL186C","Hg"
"YBR249C","Co"
"YKL213C","Ca"
"YDL120W","Co"
"YNL216W","Ca"
"YJL056C","Zn"
"YDR283C","Mg"
"YDR009W","Mg"
"YGL037C","Mg"
"YMR058W","Cu"
"YHR171W","Mg"
"YDR146C","Zn"
"YPL145C","Pb"
"YDR172W","Zn"
"YLR080W","K"
"YDR409W","Zn"
"YDR194C","Be"
"YKR043C","Na"
"YKR043C","Mg"
"YEL009C","Mg"
"YJL020C","Mg"
"YHR114W","Mg"
"YJR025C","Ni"
"YGR254W","Zn"
"YBR167C","Zn"
"YGL224C","Mg"
"YDR162C","Ca"
"YER169W","Ni"
"YBL071W-A","Zn"
"YDL102W","Ca"
"YGR123C","Fe"
"YGR123C","Na"
"YDL100C","Ni"
"YGR254W","Ca"
"YLR398C","Zn"
"YPL248C","Zn"
"YER031C","Mg"
"YOL057W","Mg"
"YOL057W","Zn"
"YGL238W","Mg"
"YBR019C","Na"
"YDL209C","Na"
"YKR054C","Mg"
"YDR091C","Fe"
"YDR091C","Mg"
"YKL194C","Zn"
"YDR510W","Ba"
"YBR088C","Ba"
"YKL194C","K"
"YDL030W","Zn"
"YDL192W","Mg"
"YER069W","Hg"
"YFL037W","Mg"
"YML085C","Mg"
"YDR050C","Na"
"YHR211W","Gd"
"YLR433C","Ca"
"YLL042C","Hg"
"YJL068C","Cu"
"YML120C","Mg"
"YOR332W","Pb"
"YNR026C","K"
"YNL162W","Zn"
"YOR168W","Zn"
"YJL126W","As"
"YMR167W","Zn"
"YGR218W","Mg"
"YDL120W","Fe"
"YER172C","Mg"
"YIL035C","Mg"
"YPL240C","Ni"
"YCR093W","Au"
"YNL231C","Mg"
"YNL082W","Zn"
"YMR167W","Mg"
"YOL021C","Mg"
"YOL021C","Zn"
"YDR142C","Mg"
"YFR044C","Zn"
"YDL128W","Ca"
"YDL128W","Mn"
"YDL104C","Zn"
"YDL104C","Ca"
"YER148W","Ca"
"YCR077C","Co"
"YBL026W","Co"
"YJR063W","Zn"
"YOR341W","Zn"
"YPR010C","Zn"
"YNL118C","Mg"
"YPL031C","Mg"
"YOR004W","Zn"
"YPL050C","Mn"
"YOR026W","Mg"
"YPR010C","Mg"
"YLR258W","Ba"
"YNL262W","Zn"
"YNL262W","Mg"
"YBR237W","Mg"
"YIR008C","Zn"
"YIL035C","Mn"
"YPR034W","Hg"
"YMR033W","Hg"
"YBR237W","Ni"
"YBR130C","Dy"
"YBR130C","Pt"
"YFR004W","Zn"
"YOR261C","K"
"YPL202C","Zn"
"YIL007C","Cd"
"YPL183W-A","Zn"
"YJL096W","Mg"
"YCR003W","Zn"
"YIL030C","Zn"
"YNL288W","Ta"
"YCR093W","Ta"
"YNL262W","Ca"
"YMR239C","Mg"
"YHR007C","Fe"
"YEL050C","Na"
"YFR005C","Zn"
"YGL094C","Mg"
"YGL094C","Zn"
"YML001W","Y"
"YKL025C","Zn"
"YER012W","Mg"
"YIR008C","Cd"
"YGR274C","Zn"
"YGR258C","K"
"YGR258C","Ca"
"YDL111C","Mg"
"YOR001W","Mg"
"YJL074C","Mg"
"YOR001W","Y"
"YJL050W","Y"
"YHR081W","Y"
"YAR050W","Na"
"YAR050W","Ca"
"YPL252C","Fe"
"YAL035W","Mg"
"YDR170C","Mg"
"YDR243C","Mg"
"YGL248W","Zn"
"YCR077C","Mg"
"YER049W","Mn"
"YHR090C","Zn"
"YCR063W","Zn"
"YPR103W","Na"
"YBL071W-A","Fe"
"YMR201C","Zn"
"YOR157C","K"
"YOR076C","Na"
"YOR076C","Mg"
"YPL063W","Mg"
"YAL020C","Mg"
"YER068W","Zn"
"YDR539W","K"
"YDR539W","Mn"
"YDR539W","Na"
"YDL074C","Zn"
"YDR473C","Y"
"YFL005W","Zn"
"YBR199W","Ca"
"YBR199W","Mn"
"YPL169C","Zn"
"YKL186C","Zn"
"YIR019C","Na"
"YIR019C","Mg"
"YGR262C","Mg"
"YGR218W","Zn"
"YKL053C-A","Co"
"YFR051C","Ca"
"YEL009C","Ca"
"YJR072C","Mg"
"YOR021C","Ni"
"YBR202W","Zn"
"YMR272C","Zn"
"YOL082W","Cd"
"YDR540C","K"
"YOR207C","Zn"
"YOR116C","Zn"
"YFR050C","Mg"
"YML092C","Mg"
"YOL038W","Mg"
"YGR135W","Mg"
"YMR314W","Mg"
"YKL095W","Zn"
"YBR065C","Zn"
"YJL081C","Mg"
"YDR510W","Zn"
"YBL071W-A","Cd"
"YMR027W","Mn"
"YJR055W","Zn"
"YHR040W","Zn"
"Q0160","Mn"
"YMR247C","K"
"YKL173W","Mg"
"YHR015W","Na"
"YKL094W","Na"
"YKL103C","Zn"
"YKL103C","As"
"YNL155W","Zn"
"YGL244W","Na"
"YDL010W","Fe"
"YDR172W","Cd"
"YER106W","Zn"
"YJL079C","Mg"
"YLR211C","Na"
"YPL067C","Zn"
"YKR029C","Na"
"YKR029C","Zn"
"YKL028W","Zn"
"YMR268C","K"
"YDL084W","W"
"YDL084W","Mg"
"YDL084W","Be"
"YDR228C","Zn"
"YOL069W","Hg"
"YIL144W","Hg"
"YER018C","Hg"
"YOR341W","Mg"
"YER139C","Zn"
"YKL145W","Mg"
"YOR259C","Mg"
"YDR394W","Mg"
"YDL007W","Mg"
"YGL048C","Mg"
"YOR117W","Mg"
"YGR195W","Na"
"YGR158C","Na"
"YJL025W","Zn"
"YPR173C","Be"
"YOL069W","Mg"
"YGR024C","Mg"
"YCR035C","Mg"
"YBL014C","Mg"
"YKR079C","Zn"
"YMR038C","Zn"
"YLR430W","Mg"
"YDR078C","Zn"
"YAL005C","Zn"
"YOR007C","Zn"
"YPR107C","Zn"
"YDR088C","Zn"
"YAL025C","Zn"
"YLR009W","Zn"
"YGR246C","Zn"
"YDR049W","Zn"
"YPL171C","Na"
"YER171W","Fe"
"YDR460W","Zn"
"YLR005W","Zn"
"YPR056W","Zn"
"YOR116C","Mg"
